Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
8,,338376.0,2011,,Desarrollo Social,Recursos fiscales,Asistencia Social,,Asignaciones adicionales al sueldo,"Definición y conducción de la política del desarrollo social, el ordenamiento territorial y la vivienda",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Delegación SEDESOL en Nuevo León,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",,"Planeación, seguimiento y evaluación de políticas públicas",,,367237.0,,2.0,1.0,5,,P,,15403.0,,2.0,20,3,1.0,139
13,,0.0,2011,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Aportaciones federales a las entidades federativas y municipios para gastos de inversión,FASP Nuevo León,Aportaciones Federales para Entidades Federativas y Municipios,Sistema Nacional de Seguridad Pública,Gasto de obra pública,"Dirección General de Programación y Presupuesto ""A""",Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,,Gasto Federalizado,,,53579502.0,,1.0,1.0,6,,I,,83104.0,,719.0,33,6,3.0,416
7,," 36,000.0 ",2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",Regulación de la conservación y aprovechamiento sustentable de los recursos naturales,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Delegación Federal en Tamaulipas,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,Regulación y supervisión,,," 36,000.0 ",,3.0,1.0,9,,G,,2602.0,,2.0,16,2,1.0,148
13,, -   ,2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,Gastos para operativos y trabajos de campo en áreas rurales,Programa de Empleo Temporal (PET),Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación SEDESOL en Tabasco,"Apoyo a artesanos tradicionales, desempleados y jornaleros agrícolas en pobreza",Tabasco,Sujetos a Reglas de Operación," 70,000.0 ",," 70,000.0 ",27.0,2.0,1.0,6,,S,,37901.0,,71.0,20,8,7.0,147
10,," 52,500.0 ",2010,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",Conservación de infraestructura de caminos rurales y carreteras alimentadoras,Comunicaciones y Transportes,Carreteras,Gasto de obra pública,Centro SCT Sinaloa,"Carreteras Alimentadoras y Caminos Rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,," 52,500.0 ",,3.0,1.0,1,,K,,2602.0,,37.0,9,1,3.0,645
3," 475,632 "," 11,157,348 ",2014, 0 ,,Recursos fiscales,Justicia,Gobierno,Sobrehaberes,Programa de justicia militar,Defensa Nacional,Procuración de Justicia,Gasto corriente,Procuraduría General de Justicia Militar,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior", Distrito Federal ,Funciones de las Fuerzas Armadas," 27,505,071 "," 27,505,071 ",,9.0,,1.0,2,1.0,A," 27,505,071 ",13501.0," 27,029,439 ",20.0,7,2,1.0,136
5,0.00,0.00,2015,0,,Recursos fiscales,Seguridad Nacional,Gobierno,Materiales y útiles de impresión y reproducción,"Adquisición, reparación y mantenimiento de unidades operativas y establecimientos navales",Marina,Marina,Gasto corriente,Dirección General de Servicios,Construcción naval y modernización de unidades operativas y establecimientos navales,Jalisco,Funciones de las Fuerzas Armadas,"4,000.00","4,000.00",,14.0,,1.0,6,1.0,A,"4,000.00",21201.0,"4,000.00",4.0,13,2,1.0,216
3,, 1 ,2012,0,Gobierno,Recursos fiscales,Justicia,,Material de apoyo informativo,Resolución de asuntos relativos a conflictos y controversias por la posesión y usufructo de la tierra,Tribunales Agrarios,Impartición de Justicia,Gasto corriente,Tribunales Unitarios Agrarios,Impartición de Justicia en materia agraria,Tabasco,Prestación de Servicios Públicos,,, -   ,27.0,1.0,1.0,2,,E,,21501.0,,1.0,31,1,1.0,200
6,0.00,0.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Refacciones y accesorios menores de equipo de transporte,Programa de Fomento Ganadero,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación en Nayarit,Elevar el ingreso de los productores y el empleo rural,Nayarit,Sujetos a Reglas de Operación,"6,180.01","6,180.01",,18.0,,1.0,2,3.0,S,"6,180.01",29601.0,"6,180.01",260.0,8,1,7.0,138
3,,17326.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Materiales y útiles de oficina,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Subdelegación en Gómez Palacio,"Micro, Pequeñas y Medianas Empresas productivas y competitivas",,Prestación de Servicios Públicos,,,9766.0,,3.0,1.0,4,,E,,21101.0,,9.0,10,1,1.0,759
1, -   , -   ,2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Mantenimiento y conservación de mobiliario y equipo de administración,"Dirección, soporte jurídico electoral y apoyo logístico",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Distrito Federal ,Específicos," 1,392 "," 1,392 ",,9.0,,1.0,3,1.0,R," 1,392 ",35201.0," 1,392 ",8.0,22,6,1.0,200
3," 23,577 "," 1,651,164 ",2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo,Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Baja California ,Regulación y supervisión," 953,675 "," 953,675 ",,2.0,,1.0,2,3.0,G," 953,675 ",15401.0," 930,098 ",10.0,16,5,1.0,B00
3,, -   ,2012,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Servicios bancarios y financieros,Fondo Nacional de Apoyos para Empresas en Solidaridad (FONAES),Economía,Asuntos Económicos y Comerciales en General,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Coordinación General del Programa Nacional de Apoyo para las Empresas de Solidaridad,"Micro, pequeñas y medianas empresas productivas y competitivas",San Luis Potosí,Sujetos a Reglas de Operación,,, -   ,24.0,3.0,1.0,1,,S,,34101.0,,17.0,10,1,7.0,C00
3, -   ," 294,000 ",2014, 0 ,,Recursos fiscales,Justicia,Gobierno,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo,Impartición de Justicia Fiscal y Administrativa,Tribunal Federal de Justicia Fiscal y Administrativa,Impartición de Justicia,Gasto corriente,"Segunda Sala Regional del Norte Centro II, con sede en Torreón, Coah.",Impartición de justicia en materia fiscal y administrativa, Coahuila ,Prestación de Servicios Públicos," 312,949 "," 312,949 ",,5.0,,1.0,2,1.0,E," 312,949 ",15401.0," 312,949 ",1.0,32,1,1.0,304
227,0.00,0.00,2015,0,,Recursos fiscales,Combustibles y Energía,Desarrollo Económico,Información en medios masivos derivada de la operación y administración de las dependencias y entidades,"Distribución de petróleo, gas, petrolíferos y petroquímicos",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Centro Nacional de Control del Gas Natural,"Distribución de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",Distrito Federal,Prestación de Servicios Públicos,"304,480.00","304,480.00",,9.0,,1.0,3,3.0,E,"304,480.00",33605.0,"304,480.00",10.0,18,2,1.0,TON
4,0.00,"420,000.00",2015,0,,Recursos fiscales,Justicia,Gobierno,Apoyos a la capacitación de los servidores públicos,Investigación académica en el marco de las ciencias penales,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Instituto Nacional de Ciencias Penales,Investigación del delito federal,Distrito Federal,Prestación de Servicios Públicos,"294,666.00","294,666.00",,9.0,,1.0,2,1.0,E,"294,666.00",15501.0,"294,666.00",10.0,17,2,1.0,SKC
18,, -   ,2013,0,Gobierno,Recursos fiscales,Asuntos de Orden Público y de Seguridad Interior,,Subsidios a Entidades Federativas y Municipios,Otorgamiento de subsidios para las entidades federativas para el fortalecimiento de las instituciones de seguridad pública en materia de mando policial,Gobernación,Sistema Nacional de Seguridad Pública,Gasto corriente,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Coordinación del Sistema Nacional de Seguridad Pública,Querétaro,Otros Subsidios," 69,062,849.2 ",," 69,062,849.2 ",22.0,1.0,1.0,7,,U,,43801.0,,3.0,4,4,1.0,W00
10,," 26,833 ",2012,7096350005,Desarrollo Económico,Recursos fiscales,Transporte,,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT México,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Estado de México,Proyectos de Inversión,,, -   ,15.0,3.0,1.0,5,,K,,35501.0,,31.0,9,1,3.0,635
3,0.00,0.00,2015,0,,Recursos fiscales,Justicia,Gobierno,Madera y productos de madera,Impartición de Justicia Fiscal y Administrativa,Tribunal Federal de Justicia Fiscal y Administrativa,Impartición de Justicia,Gasto corriente,"Primera Sala Regional de Oriente, con sede en Puebla, Pue.",Impartición de justicia en materia fiscal y administrativa,Puebla,Prestación de Servicios Públicos,"2,526.48","2,526.48",,21.0,,1.0,2,1.0,E,"2,526.48",24401.0,"2,526.48",1.0,32,1,1.0,116
1, -   ," 2,424 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Depósitos para el ahorro solidario,Actividades de apoyo a la función pública y buen gobierno,Salud,Función Pública,Gasto corriente,Instituto Nacional de Rehabilitación,Función pública y buen gobierno, Distrito Federal ,Apoyo a la función pública y al mejoramiento de la gestión," 2,424 "," 2,424 ",,9.0,,1.0,3,1.0,O," 2,424 ",14302.0," 2,424 ",1.0,12,4,1.0,NDF
10, -   , -   ,2014, 14096350022 ,,Recursos fiscales,Transporte,Desarrollo Económico,Otros servicios comerciales,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT México,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Estado de México ,Proyectos de Inversión," 3,280 "," 3,280 ",,15.0,,1.0,5,3.0,K," 3,280 ",33602.0," 3,280 ",31.0,9,1,3.0,635
10,, 150.0 ,2013,9096510005,Desarrollo Económico,Recursos fiscales,Transporte,,Material eléctrico y electrónico,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Yucatán,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Yucatán,Proyectos de Inversión, -   ,, -   ,31.0,3.0,1.0,5,,K,,24601.0,,31.0,9,1,3.0,651
1,," 23,800 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Actualizar el padrón electoral y expedir la credencial para votar,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Campeche,Específicos,,, -   ,4.0,1.0,1.0,3,,R,,35501.0,,5.0,22,6,1.0,200
4,0.00,"114,000.00",2015,0,,Recursos fiscales,Educación,Desarrollo Social,Materiales y útiles de oficina,Evaluación del Sistema Educativo Nacional,Instituto Nacional para la Evaluación de la Educación,Educación Media Superior,Gasto corriente,Unidad de Evaluación del Sistema Educativo Nacional,Evaluación del Sistema Educativo Nacional. Educación Media Superior,Distrito Federal,Prestación de Servicios Públicos,"87,172.91","87,172.91",,9.0,,1.0,5,2.0,E,"87,172.91",21101.0,"87,172.91",2.0,42,2,1.0,300
16,, -   ,2010,,Desarrollo Social,Recursos fiscales,Educación,,México,Programa para el Fortalecimiento del Servicio de la Educación Telesecundaria,Educación Pública,Educación Básica,Gasto corriente,Dirección General de Materiales Educativos,Complemento a los Servicios Educativos,,Sujetos a Reglas de Operación,,," 2,361,365.0 ",,2.0,1.0,0,,S,,4215.0,,152.0,11,1,1.0,311
3,0.00,0.00,2015,0,,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,Programa de Devolución de Derechos,Medio Ambiente y Recursos Naturales,Abastecimiento de Agua,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Distrito Federal,Otros Subsidios,0.00,0.00,,9.0,,1.0,2,2.0,U,0.00,33604.0,0.00,1.0,16,3,7.0,B00
2,0.00,1.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,"Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo",Actividades de apoyo administrativo,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"7,888.00","7,888.00",,9.0,,1.0,2,3.0,M,"7,888.00",29301.0,"7,888.00",1.0,8,1,1.0,F00
10,,37420.0,2011,,Desarrollo Social,Recursos fiscales,Educación,,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Diseño y aplicación de la política educativa,Educación Pública,Apoyo en Servicios Educativos Concurrentes,Gasto corriente,Oficina de Servicios Federales de Apoyo a la Educación en el Estado de San Luis Potosí,Diseño y aplicación de la política educativa,,"Planeación, seguimiento y evaluación de políticas públicas",,,23683.0,,2.0,1.0,0,,P,,37504.0,,1.0,11,8,1.0,144
20,," 9,088,759 ",2012,0,Desarrollo Social,Recursos fiscales,Salud,,Arrendamiento de edificios y locales,"Dignificación, conservación y mantenimiento de la infraestructura y equipamiento en salud",Salud,Generación de Recursos para la Salud,Gasto corriente,Dirección General de Desarrollo de la Infraestructura Física,"Infraestructura suficiente, equipamiento óptimo e insumos seguros para la salud",Distrito Federal,Prestación de Servicios Públicos,,, -   ,9.0,2.0,1.0,3,,E,,32201.0,,20.0,12,3,1.0,514
1,," 219,996.0 ",2013,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Aportaciones al FOVISSSTE,Actividades de apoyo a la función pública y buen gobierno,Trabajo y Previsión Social,Función Pública,Gasto corriente,Órgano Interno de Control,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión," 253,983.5 ",," 253,983.5 ",9.0,1.0,1.0,3,,O,,14201.0,,1.0,14,4,1.0,115
3, -   ," 12,000 ",2014, 0 ,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Refacciones y accesorios menores de equipo de transporte,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Baja California Sur,"Micro, pequeñas y medianas empresas productivas y competitivas", Baja California Sur ,Prestación de Servicios Públicos," 15,189 "," 15,189 ",,3.0,,1.0,1,3.0,E," 15,189 ",29601.0," 15,189 ",9.0,10,1,1.0,123
