ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,9.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Otras prestaciones sociales y economicas,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,Gasto corriente,Subsecretaría de Fomento a los Agronegocios,"Impulso a la Reconversión Productiva en Materia Agrícola, Pecuaria y Pesquera",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,7983360.0,,,1500.0,,,,1.0,,,,8,,,1.0,,,1.0,,,200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2008.0,,Función pública y buen gobierno,,,Recursos fiscales,Administración Pública,Gobierno,Servicios de Mantenimiento y Conservación,Actividades de apoyo a la función pública y buen gobierno,Seguridad Pública,Función Pública,Gasto corriente,Policía Federal Preventiva,,Actividades de apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,,,1.0,8.0,,,1.0,O,,159745.0,,,3500.0,,,,1.0,,,,36,,,3.0,,,1.0,,,C00,,,,,,,
,,3.0,,,,2010.0,,,,Gobierno,Recursos fiscales,Hacienda,,Servicios Oficiales,Programa de cuotas a organismos internacionales tributarios y de comercio exterior,Hacienda y Crédito Público,Ingresos,Gasto corriente,Servicio de Administración Tributaria,Política de ingresos equitativa y promotora de la competitividad,,Específicos,,,,,,,,,,1.0,1.0,3.0,,,,,R,4000000.0,,,3800.0,,,,14.0,,,,6,,,1.0,,,1.0,,,E00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Otras prestaciones sociales y economicas,Actividades de apoyo a la función pública y buen gobierno,Consejo Nacional de Ciencia y Tecnología,Función Pública,Gasto corriente,"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas""",Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,"397,976.00",,,1500.0,,,,1.0,,,,38,,,4.0,,,1.0,,,90G,,,,,,,
,,4.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Remuneraciones adicionales y especiales,"Ampliación de la cobertura, impacto y efecto preventivo de la fiscalización a la gestión pública",Función Pública,Función Pública,Gasto corriente,Subsecretaría de Control y Auditoría de la Gestión Pública,Transparencia y rendición de cuentas,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,"258,886.00",,,1300.0,,,,2.0,,,,27,,,4.0,,,1.0,,,200,,,,,,,
,,4.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Justicia,,Remuneraciones adicionales y especiales,Investigar y perseguir los delitos del orden federal,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Delegación Estatal en Tlaxcala,Investigación del delito federal,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,2.0,,,,,E,"1,935,158.00",,,1300.0,,,,2.0,,,,17,,,2.0,,,1.0,,,349,,,,,,,
,,6.0,,,,2009.0,,Ferrocarriles eficientes y competitivos,,,,Comunicaciones y Transportes,Desarrollo Económico,Servicios Oficiales,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Ferrocarriles,,Centro SCT Guanajuato,,Regulación y supervisión,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,1.0,,,3.0,G,,45000.0,,,3800.0,,,,2.0,,,,9,,,4.0,,,1.0,,,631,,,,,,,
,,3.0,,,,2015.0,0,,Durango,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,"Vestuario, blancos, prendas de protección y artículos deportivos","Instrumentación de políticas  de fomento a las micro, pequeñas y medianas empresas y al sector social de la economía",Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Instituto Nacional de la Economía Social,"Micro, pequeñas y medianas empresas productivas y competitivas",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,10.0,,,,,3.0,1.0,1.0,,,,,P,"$8,000.00",,,2700.0,,,,8.0,,,,10,,,1.0,,,1.0,,,D00,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,Turismo,Desarrollo Económico,Aportaciones al Sistema de Ahorro para el Retiro,Actividades de apoyo administrativo,Turismo,Turismo,,"Consejo de Promoción Turística de México, S.A. de C.V.",,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,3.0,M,,509248.0,,,1413.0,,,,1.0,,,,21,,,1.0,,,1.0,,,W3J,,,,,,,
,,9.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Ayudas sociales,"Planeación, Dirección y Evaluación Ambiental",Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Unidad Coordinadora de Asuntos Internacionales,Formulación y Conducción de la Política de Medio Ambiente y Recursos Naturales,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,2.0,1.0,1.0,,,,,P,"$585,489.00",,,4400.0,,,,2.0,,,,16,,,6.0,,,1.0,,,109,,,,,,,
,,4.0,,,,2015.0,0,,Coahuila,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Materiales de administración, emisión de documentos y artículos oficiales",Programa Nacional Forestal-Protección Forestal,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,Producción y Protección Forestal,,Prestación de Servicios Públicos,,,,,5.0,,,,,3.0,1.0,2.0,,,,,E,"$166,074.00",,,2100.0,,,,14.0,,,,16,,,2.0,,,1.0,,,RHQ,,,,,,,
,,3.0,,,,2013.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Otras prestaciones sociales y economicas,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Zacatecas,"Micro, pequeñas y medianas empresas productivas y competitivas",,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,2688324.0,,,1500.0,,,,9.0,,,,10,,,1.0,,,1.0,,,152,,,,,,,
,,11.0,,,,2014.0,,,,Desarrollo Social,Ingresos Propios,Protección Social,,Previsiones,Capacitación y Formación de Recursos Humanos en Seguridad Social,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestaciones sociales y culturales,,Prestación de Servicios Públicos,,,,,,,,,,2.0,4.0,6.0,,,,,E,"423,180.00",,,1600.0,,,,35.0,,,,GYN,,,9.0,,,1.0,,,GYN,,,,,,,
,,2.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,"Asesorías, Consultorías, Servicios Informáticos, Estudios e Investigaciones y Otros Servicios",Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Dirección General de Desarrollo Humano y Organización,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,9.0,,,,,M,3284383.0,,,3300.0,,,,1.0,,,,16,,,2.0,,,1.0,,,510,,,,,,,
,,10.0,,,,2015.0,45337,,Chiapas,Desarrollo Económico,Recursos fiscales,Transporte,,"Materiales de administración, emisión de documentos y artículos oficiales",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,7.0,,,,,3.0,1.0,5.0,,,,,K,"$4,060.00",,,2100.0,,,,31.0,,,,9,,,1.0,,,3.0,,,627,,,,,,,
,,3.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de traslado y viaticos,Derecho de Vía,Comunicaciones y Transportes,Transporte por Carretera,Gasto corriente,Centro SCT Guerrero,"Carreteras eficientes, seguras y suficientes",,Regulación y supervisión,,,,,,,,,,3.0,1.0,5.0,,,,,G,"57,300.00",,,3700.0,,,,8.0,,,,9,,,1.0,,,1.0,,,632,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14.0,,,,2009.0,,Investigación en diversas instituciones de educación superior,,,,Ciencia y Tecnología,Desarrollo Económico,Compensación por adquisición de material didáctico,Investigación científica y desarrollo tecnológico,Educación Pública,Investigación Científica,,Universidad Autónoma Metropolitana,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,7.0,,,3.0,E,,4408725.0,,,1324.0,,,,21.0,,,,11,,,1.0,,,1.0,,,A2M,,,,,,,
,,15.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones adicionales y especiales,Prevención y atención contra las adicciones,Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,"Centros de Integración Juvenil, A.C.",Promoción de la salud y prevención y control de enfermedades fortalecidas e integradas sectorial e intersectorialmente,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,3.0,,,,,E,"4,955,229.00",,,1300.0,,,,25.0,,,,12,,,1.0,,,1.0,,,M7K,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Seguridad social,Actividades de apoyo a la función pública y buen gobierno,Educación Pública,Función Pública,Gasto corriente,Comisión de Operación y Fomento de Actividades Académicas del Instituto Politécnico Nacional,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,"12,228.00",,,1400.0,,,,1.0,,,,11,,,4.0,,,1.0,,,L6H,,,,,,,
,,9.0,,,,2015.0,0,,Chihuahua,Desarrollo Social,Recursos fiscales,Protección Social,,Remuneraciones al personal de carácter transitorio,Indemnizaciones Globales,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Edad Avanzada,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Pago de Pensiones y Jubilaciones a la población derechohabiente del ISSSTE,,Pensiones y jubilaciones,,,,,8.0,,,,,2.0,1.0,6.0,,,,,J,$630.00,,,1200.0,,,,27.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,1.0,,,,2012.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,"Servicios de instalacion, reparacion, mantenimiento y conservacion",Actividades de apoyo a la función pública y buen gobierno,Consejería Jurídica del Ejecutivo Federal,Función Pública,Gasto corriente,Organo Interno de Control,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,116202.0,,,3500.0,,,,1.0,,,,37,,,4.0,,,1.0,,,110,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,Remuneraciones adicionales y especiales,Investigar y perseguir los delitos federales de carácter especial,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Subprocuraduría Especializada en Investigación de Delitos Federales,Investigación del delito federal,,Prestación de Servicios Públicos,,,,,9.0,,,,,1.0,1.0,2.0,,,,,E,"$140,428,130.00",,,1300.0,,,,6.0,,,,17,,,2.0,,,1.0,,,500,,,,,,,
,,1.0,,,,2015.0,0,,Nuevo León,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Previsiones,Actualización del padrón electoral y expedición de la credencial para votar,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,19.0,,,,,1.0,1.0,3.0,,,,,R,"$22,107.00",,,1600.0,,,,5.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios basicos,Actividades de apoyo a la función pública y buen gobierno,Turismo,Función Pública,Gasto corriente,Contraloría Interna,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,"12,533.00",,,3100.0,,,,1.0,,,,21,,,4.0,,,1.0,,,110,,,,,,,
,,234.0,,,,2014.0,,,,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Equipo e instrumental medico y de laboratorio,Programas de adquisiciones,Petróleos Mexicanos (Consolidado),Petróleo y Gas Natural (Hidrocarburos),Gasto de capital diferente de obra pública,Petróleos Mexicanos (Consolidado),Gestión corporativa a los organismos subsidiarios de PEMEX,,Proyectos de Inversión,,,,,,,,,,3.0,4.0,3.0,,,,,K,"725,860.00",,,5300.0,,,,29.0,,,,TZZ,,,2.0,,,2.0,,,TZZ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2012.0,,,,Gobierno,Recursos fiscales,Asuntos Financieros y Hacendarios,,"Servicios profesionales, cientificos, tecnicos y otros servicios",Recaudación de las contribuciones federales,Hacienda y Crédito Público,Asuntos Hacendarios,Gasto corriente,Servicio de Administración Tributaria,Política de ingresos equitativa y promotora de la competitividad,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,5.0,,,,,E,74094000.0,,,3300.0,,,,26.0,,,,6,,,2.0,,,1.0,,,E00,,,,,,,
,,8.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Otras prestaciones sociales y economicas,Investigación científica y desarrollo tecnológico,Educación Pública,Cultura,Gasto corriente,Instituto Nacional de Antropología e Historia,Fomento y promoción de la cultura,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,4.0,,,,,E,"1,516,053.00",,,1500.0,,,,21.0,,,,11,,,2.0,,,1.0,,,D00,,,,,,,
Servicios de apoyo administrativo,2.0,,0,3500.0,"Servicios de instalaci¢n, reparaci¢n, mantenimiento y conservaci¢n",2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Salud,,,,2.0,Desarrollo Social,,,,,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,," 11,167 ",1.0,Actividades de apoyo administrativo,,0.0,Salud,Otros,12,4.0,Rector¡a del Sistema de Salud,,1.0,Gasto corriente,,NCE,Instituto Nacional de Geriatr¡a,,,,,,,,
,,10.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Servicios de Mantenimiento y Conservación,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Carreteras,Gasto de obra pública,Centro SCT Veracruz,"Carreteras Alimentadoras y Caminos Rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,,,,,,3.0,1.0,1.0,,,,,K,2050860.0,,,3500.0,,,,31.0,,,,9,,,1.0,,,3.0,,,650,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2013.0,,,,Desarrollo Social,Recursos fiscales,Protección Ambiental,,"Combustibles, lubricantes y aditivos",Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Querétaro,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,2.0,1.0,1.0,,,,,M,18612.0,,,2600.0,,,,1.0,,,,16,,,6.0,,,1.0,,,142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Asuntos Financieros y Hacendarios,,Servicios básicos,"Diseño e instrumentación de las políticas y estrategias en materia de programación, presupuesto, gasto público federal, contabilidad y rendición de cuentas de la gestión del sector público y evaluación del desempeño.",Hacienda y Crédito Público,Asuntos Hacendarios,Gasto corriente,Unidad de Inversiones,Gasto público transparente y orientado a resultados,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,1.0,1.0,5.0,,,,,P,"$6,362,403.00",,,3100.0,,,,2.0,,,,6,,,2.0,,,1.0,,,410,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2009.0,,Función pública y buen gobierno,,,,Administración Pública,Gobierno,Cuotas para el seguro de vida del personal civil,Actividades de apoyo a la función pública y buen gobierno,Educación Pública,Función Pública,,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,,Apoyo a la función pública y al mejoramiento de la gestión,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,8.0,,,1.0,O,,18632.0,,,1404.0,,,,1.0,,,,11,,,3.0,,,1.0,,,L4J,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,,,,2015.0,13096450014,,Sinaloa,Desarrollo Económico,Recursos fiscales,Transporte,,Alimentos y utensilios,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Sinaloa,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,25.0,,,,,3.0,1.0,5.0,,,,,K,"$1,280.00",,,2200.0,,,,31.0,,,,9,,,1.0,,,3.0,,,645,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,,,,2011.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Otras prestaciones sociales y economicas,Prestación de servicios de educación superior y posgrado,Educación Pública,Educación Superior,Gasto corriente,Universidad Pedagógica Nacional,Educación superior de calidad,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,0.0,,,,,E,77724974.0,,,1500.0,,,,10.0,,,,11,,,3.0,,,1.0,,,A00,,,,,,,
,,4.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Justicia,,"Combustibles, lubricantes y aditivos","Atender asuntos relativos a la aplicación del Mecanismo Nacional de Promoción, Protección y Supervisión de la Convención sobre los derechos de las Personas con Discapacidad.",Comisión Nacional de los Derechos Humanos,Derechos Humanos,Gasto corriente,Primera Visitaduría General,Promover y divulgar la cultura de los derechos humanos eficiente y ampliamente,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,2.0,,,,,E,"15,141.00",,,2600.0,,,,24.0,,,,35,,,4.0,,,1.0,,,101,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,Seguridad social,Actividades de apoyo administrativo,Consejo Nacional de Ciencia y Tecnología,Desarrollo Tecnológico,Gasto corriente,"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas""",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,8.0,,,,,M,"72,380.00",,,1400.0,,,,1.0,,,,38,,,2.0,,,1.0,,,90G,,,,,,,
,,2.0,,,,2015.0,0,,Veracruz,Gobierno,Recursos fiscales,Seguridad Nacional,,Otras prestaciones sociales y económicas,Actividades de apoyo administrativo,Marina,Marina,Gasto corriente,Dirección General de Recursos Humanos,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,30.0,,,,,1.0,1.0,6.0,,,,,M,"$58,475.00",,,1500.0,,,,1.0,,,,13,,,2.0,,,1.0,,,311,,,,,,,
"Democracia preservada y fortalecida mediante la organizaci¢n de elecciones federales, el fomento de la participaci¢n ciudadana y la promoci¢n del desarrollo del sistema de partidos",1.0,,0,2600.0,"Combustibles, lubricantes y aditivos",2016.0,,,,,,,,,,,,,,,,,,,15.0,Estado de Mxico,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,R,Espec¡ficos,," 10,360 ",9.0,"Otorgamiento de prerrogativas a partidos pol¡ticos, fiscalizaci¢n de sus recursos y administraci¢n de los tiempos del estado en radio y televisi¢n",,0.0,Instituto Nacional Electoral,Otros,22,6.0,Organizaci¢n de Procesos Electorales,,1.0,Gasto corriente,,300,Juntas Distritales Ejecutivas,,,,,,,,
,,7.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,Otros servicios generales,Generación de Proyectos de Investigación,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Investigación Científica,Gasto corriente,Instituto Nacional de Pesca,Tecnificación e innovación de las actividades del sector,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,7.0,,,,,E,684164.0,,,3900.0,,,,6.0,,,,8,,,1.0,,,1.0,,,H00,,,,,,,
